,player_id,@id,url,username,score,rank,country,title,name,status,avatar,flair_code,win_count,loss_count,draw_count,trend_score.direction,trend_score.delta,trend_rank.direction,trend_rank.delta
0,57549096,https://api.chess.com/pub/player/seanwinshand,https://www.chess.com/member/SeanWinshand,SeanWinshand,2892,1,https://api.chess.com/pub/country/ID,IM,Sean Winshand,premium,https://images.chesscomfiles.com/uploads/v1/user/57549096.b48504be.200x200o.4f2d0efb44bb.jpg,diamond_traditional,353,65,307,0,0,0,0
1,30366824,https://api.chess.com/pub/player/gmwso,https://www.chess.com/member/GMWSO,GMWSO,2843,2,https://api.chess.com/pub/country/US,GM,Wesley So,premium,https://images.chesscomfiles.com/uploads/v1/user/30366824.22d6b1f8.200x200o.bf8ce3f933fc.jpg,diamond_traditional,184,49,168,0,0,0,0
2,42022994,https://api.chess.com/pub/player/firouzja2003,https://www.chess.com/member/Firouzja2003,Firouzja2003,2829,3,https://api.chess.com/pub/country/FR,GM,Alireza Firouzja,premium,https://images.chesscomfiles.com/uploads/v1/user/42022994.fde4f345.200x200o.b86d5c7f9a68.jpeg,nothing,81,42,58,0,0,0,0
3,43194690,https://api.chess.com/pub/player/vincentkeymer,https://www.chess.com/member/VincentKeymer,VincentKeymer,2787,4,https://api.chess.com/pub/country/DE,GM,Vincent Keymer,premium,https://images.chesscomfiles.com/uploads/v1/user/43194690.01e2e420.200x200o.5b2983036718.jpeg,diamond_traditional,104,72,53,0,0,0,0
4,34145346,https://api.chess.com/pub/player/denlaz,https://www.chess.com/member/DenLaz,DenLaz,2782,5,https://api.chess.com/pub/country/BY,GM,Denis Lazavik,premium,https://images.chesscomfiles.com/uploads/v1/user/34145346.09633abd.200x200o.3aa87a0b6167.jpeg,diamond_traditional,106,46,109,0,0,0,0
5,15448422,https://api.chess.com/pub/player/hikaru,https://www.chess.com/member/Hikaru,Hikaru,2769,6,https://api.chess.com/pub/country/US,GM,Hikaru Nakamura,premium,https://images.chesscomfiles.com/uploads/v1/user/15448422.88c010c1.200x200o.3c5619f5441e.png,diamond_traditional,463,82,233,0,0,0,0
6,26897402,https://api.chess.com/pub/player/levonaronian,https://www.chess.com/member/LevonAronian,LevonAronian,2743,7,https://api.chess.com/pub/country/US,GM,Levon Aronian,premium,https://images.chesscomfiles.com/uploads/v1/user/26897402.07482c01.200x200o.aafdac4f4570.jpeg,chess960,114,56,99,0,0,0,0
7,21968542,https://api.chess.com/pub/player/chesspanda123,https://www.chess.com/member/chesspanda123,chesspanda123,2741,8,https://api.chess.com/pub/country/CN,GM,Yu Yangyi,premium,https://images.chesscomfiles.com/uploads/v1/user/21968542.56e32324.200x200o.7798e6dbaa40.jpg,diamond_traditional,115,40,109,0,0,0,0
8,26867272,https://api.chess.com/pub/player/jospem,https://www.chess.com/member/Jospem,Jospem,2731,9,https://api.chess.com/pub/country/MX,GM,Jose Martinez,premium,https://images.chesscomfiles.com/uploads/v1/user/26867272.ae9f1c80.200x200o.8b42d2759267.jpg,crown_red,558,151,189,0,0,0,0
9,179991383,https://api.chess.com/pub/player/ajedressi,https://www.chess.com/member/ajedressi,ajedressi,2728,10,https://api.chess.com/pub/country/ES,,Manuel Ermachenko,premium,https://images.chesscomfiles.com/uploads/v1/user/179991383.ad480eb6.200x200o.6b02e14a43de.jpg,crown_gold,254,186,68,1,4,0,0
